agents,solveGreedy,solveMILP,solveConicGibbsGreedyDynamic
"[(0, 75, 0.5), (1, 50, 0.5), (2, 50, 0.25), (3, 25, 0.25), (4, 75, 0.75), (5, 25, 0.25), (6, 25, 0.5), (7, 25, 0.75), (8, 75, 0.5), (9, 75, 0.25), (10, 75, 0.5), (11, 25, 0.5), (12, 75, 0.75), (13, 75, 0.75), (14, 25, 0.25), (15, 75, 0.75), (16, 50, 0.75), (17, 25, 0.5), (18, 75, 0.75), (19, 75, 0.25), (20, 25, 0.25), (21, 50, 0.5), (22, 75, 0.75), (23, 25, 0.25), (24, 25, 0.25), (25, 50, 0.75), (26, 50, 0.5), (27, 75, 0.75), (28, 25, 0.75), (29, 50, 0.5), (30, 75, 0.75), (31, 50, 0.5), (32, 75, 0.75), (33, 25, 0.75), (34, 75, 0.25), (35, 25, 0.25), (36, 50, 0.25), (37, 25, 0.75), (38, 75, 0.75), (39, 25, 0.75), (40, 25, 0.5), (41, 25, 0.5), (42, 50, 0.75), (43, 25, 0.25), (44, 75, 0.5), (45, 50, 0.5), (46, 75, 0.25), (47, 25, 0.75), (48, 25, 0.25), (49, 75, 0.5)]",374.9999971804316,424.2774871609273,430.1064731646112
"[(0, 50, 0.75), (1, 50, 0.25), (2, 25, 0.75), (3, 25, 0.25), (4, 25, 0.25), (5, 75, 0.5), (6, 50, 0.75), (7, 50, 0.25), (8, 75, 0.5), (9, 50, 0.5), (10, 75, 0.25), (11, 50, 0.5), (12, 25, 0.75), (13, 75, 0.25), (14, 75, 0.25), (15, 75, 0.75), (16, 25, 0.75), (17, 50, 0.75), (18, 50, 0.75), (19, 75, 0.25), (20, 50, 0.5), (21, 75, 0.5), (22, 50, 0.5), (23, 75, 0.25), (24, 50, 0.75), (25, 25, 0.5), (26, 25, 0.25), (27, 50, 0.25), (28, 25, 0.5), (29, 25, 0.25), (30, 75, 0.75), (31, 25, 0.25), (32, 50, 0.75), (33, 75, 0.25), (34, 50, 0.25), (35, 75, 0.5), (36, 50, 0.5), (37, 75, 0.25), (38, 25, 0.75), (39, 50, 0.75), (40, 25, 0.5), (41, 75, 0.25), (42, 50, 0.25), (43, 25, 0.25), (44, 50, 0.5), (45, 25, 0.25), (46, 25, 0.25), (47, 50, 0.25), (48, 75, 0.25), (49, 75, 0.25)]",285.9374880434288,302.76691634473235,297.6647541679807
"[(0, 25, 0.25), (1, 50, 0.25), (2, 25, 0.5), (3, 75, 0.5), (4, 50, 0.25), (5, 75, 0.75), (6, 75, 0.5), (7, 25, 0.75), (8, 75, 0.25), (9, 75, 0.5), (10, 75, 0.75), (11, 25, 0.75), (12, 25, 0.5), (13, 75, 0.25), (14, 75, 0.75), (15, 50, 0.25), (16, 50, 0.75), (17, 25, 0.25), (18, 75, 0.5), (19, 75, 0.75), (20, 25, 0.25), (21, 50, 0.25), (22, 25, 0.5), (23, 75, 0.5), (24, 25, 0.5), (25, 75, 0.5), (26, 25, 0.25), (27, 25, 0.5), (28, 50, 0.5), (29, 50, 0.75), (30, 50, 0.75), (31, 75, 0.5), (32, 75, 0.5), (33, 25, 0.25), (34, 25, 0.5), (35, 50, 0.5), (36, 50, 0.25), (37, 50, 0.5), (38, 25, 0.75), (39, 75, 0.75), (40, 75, 0.75), (41, 25, 0.5), (42, 75, 0.25), (43, 25, 0.25), (44, 50, 0.75), (45, 75, 0.75), (46, 50, 0.25), (47, 75, 0.75), (48, 75, 0.25), (49, 25, 0.75)]",328.12499554704266,403.2024041016719,394.10062667306363
"[(0, 75, 0.25), (1, 75, 0.5), (2, 50, 0.75), (3, 75, 0.5), (4, 25, 0.75), (5, 50, 0.25), (6, 25, 0.5), (7, 50, 0.75), (8, 25, 0.75), (9, 50, 0.25), (10, 50, 0.25), (11, 75, 0.75), (12, 75, 0.5), (13, 50, 0.25), (14, 50, 0.5), (15, 75, 0.25), (16, 25, 0.25), (17, 25, 0.75), (18, 50, 0.25), (19, 25, 0.5), (20, 75, 0.25), (21, 25, 0.75), (22, 75, 0.75), (23, 25, 0.5), (24, 25, 0.75), (25, 25, 0.5), (26, 25, 0.25), (27, 75, 0.5), (28, 25, 0.5), (29, 75, 0.25), (30, 50, 0.25), (31, 75, 0.25), (32, 50, 0.25), (33, 75, 0.25), (34, 25, 0.25), (35, 50, 0.75), (36, 25, 0.75), (37, 75, 0.75), (38, 25, 0.75), (39, 75, 0.25), (40, 25, 0.5), (41, 50, 0.5), (42, 50, 0.5), (43, 25, 0.75), (44, 50, 0.25), (45, 75, 0.25), (46, 50, 0.25), (47, 75, 0.5), (48, 25, 0.25), (49, 75, 0.5)]",270.7031147036377,288.3550831747465,294.0395957642289
"[(0, 25, 0.25), (1, 25, 0.25), (2, 75, 0.75), (3, 75, 0.25), (4, 25, 0.5), (5, 50, 0.25), (6, 75, 0.25), (7, 50, 0.75), (8, 25, 0.75), (9, 25, 0.5), (10, 75, 0.75), (11, 50, 0.25), (12, 75, 0.25), (13, 75, 0.25), (14, 25, 0.75), (15, 75, 0.75), (16, 50, 0.25), (17, 50, 0.75), (18, 75, 0.25), (19, 75, 0.5), (20, 25, 0.5), (21, 50, 0.75), (22, 75, 0.75), (23, 25, 0.25), (24, 25, 0.5), (25, 75, 0.5), (26, 25, 0.5), (27, 50, 0.5), (28, 25, 0.5), (29, 25, 0.25), (30, 75, 0.25), (31, 50, 0.75), (32, 25, 0.75), (33, 75, 0.25), (34, 25, 0.5), (35, 50, 0.25), (36, 75, 0.75), (37, 75, 0.25), (38, 75, 0.75), (39, 25, 0.5), (40, 25, 0.5), (41, 25, 0.75), (42, 25, 0.5), (43, 50, 0.25), (44, 25, 0.25), (45, 25, 0.75), (46, 50, 0.5), (47, 25, 0.25), (48, 25, 0.25), (49, 75, 0.25)]",328.12495530030617,368.1504505452455,365.4336770152146
"[(0, 25, 0.75), (1, 25, 0.25), (2, 50, 0.5), (3, 75, 0.75), (4, 25, 0.5), (5, 25, 0.25), (6, 50, 0.75), (7, 25, 0.75), (8, 50, 0.25), (9, 25, 0.75), (10, 25, 0.25), (11, 25, 0.25), (12, 75, 0.75), (13, 25, 0.75), (14, 75, 0.25), (15, 50, 0.25), (16, 25, 0.75), (17, 25, 0.75), (18, 75, 0.5), (19, 50, 0.25), (20, 50, 0.25), (21, 25, 0.75), (22, 50, 0.5), (23, 75, 0.25), (24, 75, 0.25), (25, 75, 0.5), (26, 25, 0.25), (27, 50, 0.25), (28, 50, 0.5), (29, 50, 0.5), (30, 75, 0.5), (31, 50, 0.5), (32, 75, 0.5), (33, 75, 0.25), (34, 25, 0.5), (35, 75, 0.75), (36, 50, 0.75), (37, 50, 0.75), (38, 75, 0.5), (39, 25, 0.75), (40, 25, 0.5), (41, 75, 0.25), (42, 25, 0.5), (43, 75, 0.25), (44, 75, 0.5), (45, 50, 0.75), (46, 25, 0.5), (47, 75, 0.5), (48, 50, 0.5), (49, 25, 0.5)]",270.7031181096688,297.6725173502717,300.8762314808408
"[(0, 75, 0.75), (1, 75, 0.75), (2, 75, 0.25), (3, 50, 0.25), (4, 50, 0.5), (5, 25, 0.75), (6, 25, 0.75), (7, 25, 0.5), (8, 25, 0.5), (9, 75, 0.5), (10, 75, 0.5), (11, 25, 0.5), (12, 75, 0.25), (13, 25, 0.25), (14, 50, 0.75), (15, 50, 0.25), (16, 75, 0.75), (17, 25, 0.25), (18, 50, 0.5), (19, 75, 0.25), (20, 50, 0.5), (21, 50, 0.75), (22, 25, 0.25), (23, 25, 0.75), (24, 25, 0.75), (25, 75, 0.75), (26, 50, 0.5), (27, 75, 0.75), (28, 75, 0.75), (29, 75, 0.75), (30, 50, 0.75), (31, 50, 0.25), (32, 25, 0.75), (33, 50, 0.25), (34, 50, 0.75), (35, 75, 0.5), (36, 50, 0.75), (37, 75, 0.5), (38, 75, 0.5), (39, 50, 0.25), (40, 25, 0.5), (41, 50, 0.5), (42, 25, 0.5), (43, 50, 0.75), (44, 25, 0.75), (45, 25, 0.25), (46, 50, 0.25), (47, 50, 0.5), (48, 25, 0.75), (49, 50, 0.25)]",346.87499345230367,392.9347433466016,382.74705824074624
"[(0, 25, 0.25), (1, 75, 0.25), (2, 50, 0.25), (3, 75, 0.25), (4, 50, 0.75), (5, 75, 0.75), (6, 25, 0.5), (7, 75, 0.5), (8, 75, 0.5), (9, 25, 0.25), (10, 25, 0.75), (11, 25, 0.25), (12, 25, 0.75), (13, 50, 0.5), (14, 25, 0.25), (15, 50, 0.5), (16, 50, 0.25), (17, 75, 0.5), (18, 75, 0.25), (19, 75, 0.25), (20, 25, 0.25), (21, 75, 0.75), (22, 50, 0.75), (23, 75, 0.5), (24, 75, 0.5), (25, 75, 0.25), (26, 25, 0.75), (27, 50, 0.5), (28, 75, 0.5), (29, 50, 0.5), (30, 25, 0.25), (31, 25, 0.5), (32, 25, 0.25), (33, 25, 0.25), (34, 25, 0.75), (35, 50, 0.5), (36, 50, 0.25), (37, 25, 0.25), (38, 25, 0.75), (39, 25, 0.25), (40, 25, 0.5), (41, 25, 0.5), (42, 75, 0.75), (43, 50, 0.75), (44, 75, 0.25), (45, 25, 0.75), (46, 50, 0.25), (47, 50, 0.75), (48, 25, 0.5), (49, 50, 0.75)]",280.07811245223627,307.4687764842191,307.76028746049616
"[(0, 75, 0.5), (1, 25, 0.75), (2, 75, 0.75), (3, 75, 0.75), (4, 75, 0.25), (5, 50, 0.5), (6, 50, 0.25), (7, 75, 0.25), (8, 25, 0.75), (9, 50, 0.75), (10, 50, 0.75), (11, 50, 0.75), (12, 50, 0.25), (13, 25, 0.25), (14, 25, 0.75), (15, 25, 0.75), (16, 25, 0.75), (17, 50, 0.75), (18, 50, 0.5), (19, 25, 0.75), (20, 75, 0.25), (21, 25, 0.75), (22, 50, 0.25), (23, 25, 0.25), (24, 25, 0.5), (25, 25, 0.5), (26, 75, 0.5), (27, 75, 0.25), (28, 75, 0.75), (29, 25, 0.5), (30, 75, 0.25), (31, 50, 0.75), (32, 75, 0.25), (33, 25, 0.75), (34, 50, 0.75), (35, 50, 0.25), (36, 75, 0.75), (37, 75, 0.25), (38, 50, 0.75), (39, 50, 0.5), (40, 50, 0.25), (41, 75, 0.5), (42, 25, 0.5), (43, 75, 0.5), (44, 25, 0.75), (45, 25, 0.25), (46, 75, 0.5), (47, 25, 0.25), (48, 75, 0.25), (49, 50, 0.75)]",296.484372527658,353.86567186549047,348.72003023196936
"[(0, 75, 0.25), (1, 75, 0.75), (2, 25, 0.25), (3, 75, 0.75), (4, 75, 0.5), (5, 50, 0.75), (6, 25, 0.25), (7, 75, 0.75), (8, 25, 0.5), (9, 50, 0.25), (10, 75, 0.75), (11, 25, 0.25), (12, 75, 0.5), (13, 25, 0.5), (14, 50, 0.25), (15, 75, 0.75), (16, 25, 0.25), (17, 25, 0.25), (18, 50, 0.75), (19, 50, 0.25), (20, 75, 0.5), (21, 75, 0.25), (22, 75, 0.25), (23, 25, 0.25), (24, 75, 0.5), (25, 50, 0.25), (26, 50, 0.5), (27, 75, 0.75), (28, 75, 0.25), (29, 25, 0.75), (30, 75, 0.5), (31, 75, 0.75), (32, 25, 0.5), (33, 50, 0.5), (34, 50, 0.5), (35, 50, 0.75), (36, 50, 0.25), (37, 75, 0.25), (38, 50, 0.5), (39, 50, 0.5), (40, 75, 0.75), (41, 25, 0.25), (42, 50, 0.5), (43, 75, 0.5), (44, 50, 0.75), (45, 50, 0.75), (46, 75, 0.75), (47, 75, 0.5), (48, 75, 0.75), (49, 25, 0.25)]",394.9218555769012,424.799311233525,433.78124867167105
"[(0, 75, 0.75), (1, 75, 0.5), (2, 25, 0.75), (3, 25, 0.25), (4, 50, 0.5), (5, 75, 0.75), (6, 75, 0.5), (7, 25, 0.5), (8, 50, 0.25), (9, 75, 0.75), (10, 25, 0.5), (11, 25, 0.5), (12, 75, 0.75), (13, 50, 0.75), (14, 25, 0.5), (15, 25, 0.25), (16, 25, 0.5), (17, 75, 0.5), (18, 50, 0.25), (19, 75, 0.25), (20, 25, 0.5), (21, 50, 0.25), (22, 75, 0.25), (23, 25, 0.75), (24, 25, 0.25), (25, 75, 0.25), (26, 25, 0.75), (27, 75, 0.25), (28, 50, 0.75), (29, 75, 0.5), (30, 50, 0.5), (31, 25, 0.75), (32, 25, 0.25), (33, 75, 0.75), (34, 75, 0.75), (35, 75, 0.5), (36, 50, 0.25), (37, 50, 0.75), (38, 25, 0.75), (39, 25, 0.5), (40, 50, 0.5), (41, 50, 0.5), (42, 75, 0.75), (43, 75, 0.75), (44, 50, 0.75), (45, 50, 0.5), (46, 50, 0.75), (47, 75, 0.75), (48, 75, 0.25), (49, 75, 0.5)]",394.9218601222983,414.00982640575774,411.52258252441044
"[(0, 50, 0.25), (1, 75, 0.5), (2, 25, 0.25), (3, 75, 0.25), (4, 25, 0.75), (5, 75, 0.25), (6, 25, 0.75), (7, 50, 0.75), (8, 50, 0.25), (9, 75, 0.5), (10, 75, 0.25), (11, 50, 0.5), (12, 75, 0.75), (13, 50, 0.25), (14, 25, 0.75), (15, 75, 0.5), (16, 25, 0.25), (17, 50, 0.25), (18, 75, 0.75), (19, 75, 0.75), (20, 25, 0.5), (21, 50, 0.75), (22, 75, 0.75), (23, 75, 0.25), (24, 75, 0.5), (25, 75, 0.25), (26, 25, 0.75), (27, 25, 0.25), (28, 75, 0.75), (29, 25, 0.25), (30, 25, 0.75), (31, 75, 0.25), (32, 75, 0.5), (33, 75, 0.25), (34, 75, 0.75), (35, 75, 0.5), (36, 50, 0.25), (37, 25, 0.5), (38, 25, 0.75), (39, 75, 0.5), (40, 50, 0.5), (41, 75, 0.75), (42, 25, 0.25), (43, 50, 0.75), (44, 25, 0.5), (45, 75, 0.5), (46, 25, 0.75), (47, 75, 0.5), (48, 50, 0.25), (49, 50, 0.5)]",328.1249885712663,381.9247937635208,375.542204530576
"[(0, 50, 0.5), (1, 75, 0.25), (2, 50, 0.5), (3, 50, 0.25), (4, 50, 0.5), (5, 50, 0.75), (6, 25, 0.75), (7, 50, 0.75), (8, 50, 0.5), (9, 50, 0.75), (10, 25, 0.75), (11, 25, 0.5), (12, 25, 0.75), (13, 50, 0.5), (14, 25, 0.75), (15, 25, 0.75), (16, 50, 0.5), (17, 25, 0.5), (18, 50, 0.5), (19, 75, 0.25), (20, 75, 0.75), (21, 25, 0.75), (22, 25, 0.25), (23, 75, 0.5), (24, 25, 0.75), (25, 25, 0.25), (26, 50, 0.5), (27, 50, 0.25), (28, 75, 0.75), (29, 25, 0.25), (30, 25, 0.5), (31, 50, 0.25), (32, 50, 0.5), (33, 50, 0.75), (34, 25, 0.5), (35, 25, 0.25), (36, 75, 0.5), (37, 50, 0.5), (38, 50, 0.75), (39, 25, 0.25), (40, 25, 0.25), (41, 50, 0.5), (42, 50, 0.25), (43, 50, 0.5), (44, 25, 0.5), (45, 50, 0.5), (46, 50, 0.75), (47, 50, 0.5), (48, 75, 0.75), (49, 75, 0.5)]",289.45312194189074,316.54125956300345,315.4487238585626
"[(0, 50, 0.5), (1, 50, 0.5), (2, 25, 0.5), (3, 25, 0.25), (4, 75, 0.25), (5, 50, 0.75), (6, 25, 0.5), (7, 75, 0.75), (8, 75, 0.75), (9, 75, 0.75), (10, 25, 0.5), (11, 50, 0.75), (12, 50, 0.5), (13, 50, 0.25), (14, 25, 0.75), (15, 25, 0.75), (16, 75, 0.5), (17, 75, 0.5), (18, 25, 0.5), (19, 75, 0.25), (20, 25, 0.25), (21, 25, 0.5), (22, 50, 0.75), (23, 50, 0.75), (24, 50, 0.25), (25, 25, 0.5), (26, 25, 0.25), (27, 50, 0.5), (28, 25, 0.75), (29, 75, 0.75), (30, 50, 0.25), (31, 25, 0.75), (32, 75, 0.25), (33, 25, 0.75), (34, 50, 0.5), (35, 25, 0.75), (36, 75, 0.75), (37, 75, 0.5), (38, 75, 0.25), (39, 75, 0.5), (40, 50, 0.5), (41, 25, 0.75), (42, 75, 0.25), (43, 50, 0.5), (44, 75, 0.5), (45, 50, 0.25), (46, 50, 0.25), (47, 50, 0.75), (48, 25, 0.75), (49, 50, 0.75)]",307.03124627356283,360.8855856570045,348.9217640208912
